label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_429
/api/users?page=2,0.49800,0.69800,0.70300,3385,1,1,0.00000,0,1,0.70300,0.70300,0.70300,0.70300,0.70300,0.70300,0.70300,,1
,0.10333,0.29467,0.75350,5401391,1,6,1.02246,0,6,0.18500,0.21000,3.00200,3.00200,3.00200,3.00200,3.00200,1,5
/api/users,0.00000,0.19600,0.19700,3393,1,1,0.00000,0,1,0.19700,0.19700,0.19700,0.19700,0.19700,0.19700,0.19700,,1
/api/users/2,0.00000,0.19750,0.19750,6760,1,2,0.01250,0,2,0.18500,0.18500,0.21000,0.21000,0.21000,0.21000,0.21000,,2
/api/unknown,0.00000,0.22200,0.22300,3385,1,1,0.00000,0,1,0.22300,0.22300,0.22300,0.22300,0.22300,0.22300,0.22300,,1
https://dequeuniversity.com/demo/mars/,0.12200,0.25700,3.00300,5384468,1,1,0.00000,0,1,3.00200,3.00200,3.00200,3.00200,3.00200,3.00200,3.00200,1,
